source_database	object_name	disposition	target_input	activation_rule	parity_rule
pms	public.automation_sends	historical_snapshot	none	never_enqueue	compare_ids_with_archive_before_dedup
pms	public.guest_automations	historical_snapshot	none	never_schedule	count_and_checksum
pms	public.message_templates	historical_snapshot	none	never_activate	count_and_checksum
pms	inbox_prototype_archive_20260905.automation_sends	historical_snapshot	none	never_enqueue	compare_ids_with_public_before_dedup
pms	inbox_prototype_archive_20260905.guest_automations	historical_snapshot	none	never_schedule	count_and_checksum
pms	inbox_prototype_archive_20260905.message_templates	historical_snapshot	none	never_activate	count_and_checksum
